Account,date,classification,total_closed_pnl,num_trades,num_closes,num_liquidations,total_volume_usd,win_rate
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-25,Greed,1113.013801,99,82,0,76976.78,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-26,Greed,3291.144446,113,110,0,158243.33,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-27,Greed,471.712989,83,81,0,120476.39,0.654320987654321
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-04-28,Neutral,728.966777,33,27,0,34724.43,0.8148148148148148
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2024-12-25,Greed,14.21524,4,3,0,6754.21,1.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2024-12-29,Greed,0.0,4,0,0,43278.42,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2024-12-30,Greed,838.9844760000001,12,0,0,48828.85,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2024-12-31,Greed,0.0,1,0,0,8056.83,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-01,Greed,0.0,3,0,0,22667.48,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-02,Greed,1008.518954,9,0,0,60827.07,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-03,Greed,937.789615,26,0,0,51369.17,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-05,Greed,1093.05677,7,0,0,12797.13,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-06,Extreme Greed,1260.832586,1,0,0,12912.0,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-07,Extreme Greed,0.0,1,0,0,5768.6,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-08,Greed,0.0,11,0,0,23615.29,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-09,Greed,0.0,1,0,0,9563.74,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-13,Greed,1621.278931,4,0,0,30182.67,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-15,Greed,1261.448002,1,0,0,11647.74,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-01-19,Extreme Greed,0.0,1,0,0,99.88,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-03-24,Neutral,-869.145978,2,0,0,16898.940000000002,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-03-26,Neutral,0.0,3,0,0,16897.370000000003,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-03-28,Fear,1130.350383,6,0,0,18027.760000000002,
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-08,Extreme Fear,246.8944,26,16,0,56053.090000000004,1.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-09,Extreme Fear,2975.927732,799,381,0,2791902.19,0.984251968503937
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-10,Fear,-372.76464,105,60,0,644130.0,0.4666666666666667
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-11,Fear,2550.108815,279,136,0,655093.27,1.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-12,Fear,303.170149,120,69,0,435988.27,1.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-13,Neutral,355.09,94,11,0,427208.05,0.9090909090909091
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-17,Fear,425.687612,34,16,0,251215.42,1.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-04-22,Neutral,119.0,5,4,0,182701.01,1.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-17,Extreme Greed,0.0,14,0,0,29998.86,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-18,Extreme Greed,0.0,1,0,0,4999.94,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-27,Greed,453.853206,29,0,0,24999.01,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-28,Greed,343.092145,1,0,0,4999.89,
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-29,Greed,768.814445,4,3,0,7673.17,1.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-30,Greed,1211.511836,6,6,0,5681.31,1.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-12-31,Greed,306.563532,3,3,0,1028.46,1.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-01-02,Greed,739.18423,3,3,0,3012.4900000000002,1.0
